xmcotaj2;X-Men Children of the Atom (Japan 941219);Mame (Mame4all);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaj2;X-Men Children of the Atom (Japan 941219);Mame;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaj2;X-Men: Children of the Atom (Japan 941219);Arcade;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj2;X-Men: Children of the Atom (Japan 941219);Final Burn Alpha;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj2;X-Men: Children of the Atom (Japan 941219);Mame (advance);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj2;X-Men: Children of the Atom (Japan 941219);Mame (libretro);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj2;X-Men: Children of the Atom (Japan 941219);Mame (Mame4all);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj2;X-Men: Children of the Atom (Japan 941219);Mame;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj3;X-Men - children of the atom (941217 Japan);Final Burn Alpha;xmcota;1994;Capcom;;;;;;0;;;;;
xmcotaj3;X-Men Children of the Atom (Japan 941217);Arcade;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaj3;X-Men Children of the Atom (Japan 941217);Mame (Advance);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaj3;X-Men Children of the Atom (Japan 941217);Mame (Libretro);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaj3;X-Men Children of the Atom (Japan 941217);Mame (Mame4all);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaj3;X-Men Children of the Atom (Japan 941217);Mame;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaj3;X-Men: Children of the Atom (Japan 941217);Arcade;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj3;X-Men: Children of the Atom (Japan 941217);Final Burn Alpha;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj3;X-Men: Children of the Atom (Japan 941217);Mame (Advance);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj3;X-Men: Children of the Atom (Japan 941217);Mame (libretro);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj3;X-Men: Children of the Atom (Japan 941217);Mame (mame4all);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj3;X-Men: Children of the Atom (Japan 941217);Mame;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj;X-Men - children of the atom (950105 Japan);Final Burn Alpha;xmcota;1994;Capcom;;;;;;0;;;;;
xmcotaj;X-Men Children of the Atom (Japan 950105);Arcade;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaj;X-Men Children of the Atom (Japan 950105);Mame (Advance);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaj;X-Men Children of the Atom (Japan 950105);Mame (Libretro);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaj;X-Men Children of the Atom (Japan 950105);Mame (Mame4all);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaj;X-Men Children of the Atom (Japan 950105);Mame;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaj;X-Men: Children of the Atom (Japan 950105);Arcade;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj;X-Men: Children of the Atom (Japan 950105);Final Burn Alpha;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj;X-Men: Children of the Atom (Japan 950105);Mame (Advance);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj;X-Men: Children of the Atom (Japan 950105);Mame (libretro);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj;X-Men: Children of the Atom (Japan 950105);Mame (Mame4all);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj;X-Men: Children of the Atom (Japan 950105);Mame;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotajb;X-Men: Children of the Atom (Boss hack by Yumeji);HBMame;xmcota;1994;Yumeji;Fighter;;;;;0;;;;;
xmcotajphp;X-Men: Children of the Atom (Power hack by Pipi899);HBMame;xmcota;1994;Pipi899;Fighter;;;;;0;;;;;
xmcotajr;X-Men - children of the atom (941208 Japan, rent version);Final Burn Alpha;xmcota;1994;Capcom;;;;;;0;;;;;
xmcotajr;X-Men Children of the Atom (Japan 941208 rent version);Arcade;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotajr;X-Men Children of the Atom (Japan 941208 rent version);Mame (Advance);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotajr;X-Men Children of the Atom (Japan 941208 rent version);Mame (Libretro);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotajr;X-Men Children of the Atom (Japan 941208 rent version);Mame (Mame4all);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotajr;X-Men Children of the Atom (Japan 941208 rent version);Mame;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotajr;X-Men: Children of the Atom (Japan 941208 rent version);Arcade;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotajr;X-Men: Children of the Atom (Japan 941208 rent version);Final Burn Alpha;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotajr;X-Men: Children of the Atom (Japan 941208 rent version);Mame (Advance);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotajr;X-Men: Children of the Atom (Japan 941208 rent version);Mame (Libretro);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotajr;X-Men: Children of the Atom (Japan 941208 rent version);Mame (Mame4all);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotajr;X-Men: Children of the Atom (Japan 941208 rent version);Mame;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotar1;X-Men - children of the atom (950105 Euro);Final Burn Alpha;xmcota;1995;Capcom;;;;;;0;;;;;
xmcotar1;X-Men Children of the Atom (Euro 950105);Arcade;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotar1;X-Men Children of the Atom (Euro 950105);Mame (Advance);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotar1;X-Men Children of the Atom (Euro 950105);Mame (Libretro);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotar1;X-Men Children of the Atom (Euro 950105);Mame (Mame4all);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotar1;X-Men Children of the Atom (Euro 950105);Mame;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotar1;X-Men: Children of the Atom (Euro 950105);Arcade;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotar1;X-Men: Children of the Atom (Euro 950105);Final Burn Alpha;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotar1;X-Men: Children of the Atom (Euro 950105);Mame (Advance);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotar1;X-Men: Children of the Atom (Euro 950105);Mame (Libretro);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotar1;X-Men: Children of the Atom (Euro 950105);Mame (mame4all);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotar1;X-Men: Children of the Atom (Euro 950105);Mame;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotar1d;X-Men - children of the atom (950105 Euro Phoenix Edition) [Bootleg];Final Burn Alpha;xmcota;1995;bootleg;;;;;;0;;;;;
xmcotar1d;X-Men Children of the Atom (Euro 950105 Phoenix Edition) (bootleg);Arcade;xmcota;1994;bootleg;Fighter / Versus;;;;;0;;;;;
xmcotar1d;X-Men Children of the Atom (Euro 950105 Phoenix Edition) (bootleg);Mame (Advance);xmcota;1994;bootleg;Fighter / Versus;;;;;0;;;;;
xmcotar1d;X-Men Children of the Atom (Euro 950105 Phoenix Edition) (bootleg);Mame (Libretro);xmcota;1994;bootleg;Fighter / Versus;;;;;0;;;;;
xmcotar1d;X-Men Children of the Atom (Euro 950105 Phoenix Edition) (bootleg);Mame (Mame4all);xmcota;1994;bootleg;Fighter / Versus;;;;;0;;;;;
xmcotar1d;X-Men Children of the Atom (Euro 950105 Phoenix Edition) (bootleg);Mame;xmcota;1994;bootleg;Fighter / Versus;;;;;0;;;;;
xmcotar1d;X-Men: Children of the Atom (Euro 950105 Phoenix Edition) (bootleg);Arcade;xmcota;1994;bootleg;Fighter / Versus;;;;;0;;;;;
xmcotar1d;X-Men: Children of the Atom (Euro 950105 Phoenix Edition) (bootleg);Final Burn Alpha;xmcota;1994;bootleg;Fighter / Versus;;;;;0;;;;;
xmcotar1d;X-Men: Children of the Atom (Euro 950105 Phoenix Edition) (bootleg);HBMame;xmcota;1994;bootleg;Fighter;;;;;0;;;;;
xmcotar1d;X-Men: Children of the Atom (Euro 950105 Phoenix Edition) (bootleg);Mame (Advance);xmcota;1994;bootleg;Fighter / Versus;;;;;0;;;;;
xmcotar1d;X-Men: Children of the Atom (Euro 950105 Phoenix Edition) (bootleg);Mame (advance);xmcota;1994;bootleg;Fighter;;;;;0;;;;;
