#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
pbobble4;Puzzle Bobble 4 (Ver 2.04O 1997/12/19);MAME (Mame4all);;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4;Puzzle Bobble 4 (Ver 2.04O 1997/12/19);MAME;;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4j;Puzzle Bobble 4 (Ver 2.04J 1997/12/19);Arcade;pbobble4;1997;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble4j;Puzzle Bobble 4 (Ver 2.04J 1997/12/19);Arcade;pbobble4;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4j;Puzzle Bobble 4 (Ver 2.04J 1997/12/19);Final Burn Alpha;pbobble4;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4j;Puzzle Bobble 4 (Ver 2.04J 1997/12/19);MAME (Advance);pbobble4;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4j;Puzzle Bobble 4 (Ver 2.04J 1997/12/19);MAME (Libretro);pbobble4;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4j;Puzzle Bobble 4 (Ver 2.04J 1997/12/19);MAME (Mame4all);pbobble4;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4j;Puzzle Bobble 4 (Ver 2.04J 1997/12/19);MAME;pbobble4;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4u;Puzzle Bobble 4 (Ver 2.04A 1997/12/19);Arcade;pbobble4;1997;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
